psm_px,psm_py,psm_pz,psm_ox,psm_oy,psm_oz,psm_ow,dk2_px,dk2_py,dk2_pz,dk2_ox,dk2_oy,dk2_oz,dk2_ow
-14.088373,-3.518388,-28.790176,0.000000,0.000000,0.000000,1.000000,-11.382826,-9.227647,2.833652,0.003498,-0.078789,-0.044953,-0.995871
-14.301223,-6.011457,-28.640839,0.000000,0.000000,0.000000,1.000000,-11.382759,-11.223960,2.630562,0.018365,-0.077487,-0.039595,-0.996037
-14.454460,-8.586371,-27.548759,0.000000,0.000000,0.000000,1.000000,-11.383343,-13.113818,2.696362,0.033235,-0.076457,-0.034246,-0.995930
-14.198315,-11.006974,-27.185028,0.000000,0.000000,0.000000,1.000000,-11.394325,-15.097304,3.062238,0.049564,-0.074546,-0.028967,-0.995564
-13.925955,-13.435952,-25.301971,0.000000,0.000000,0.000000,1.000000,-11.414086,-17.029783,3.779815,0.063741,-0.071710,-0.024515,-0.995085
-13.294422,-15.544827,-24.104988,0.000000,0.000000,0.000000,1.000000,-11.440547,-18.757194,4.733138,0.076514,-0.070014,-0.022369,-0.994356
-12.454865,-17.332087,-23.115311,0.000000,0.000000,0.000000,1.000000,-11.462884,-20.464760,5.976289,0.090578,-0.067925,-0.022114,-0.993324
-11.539998,-19.165026,-20.694183,0.000000,0.000000,0.000000,1.000000,-11.483801,-21.999939,7.454441,0.102747,-0.064282,-0.020404,-0.992419
-10.227770,-20.376478,-20.003609,0.000000,0.000000,0.000000,1.000000,-11.490723,-23.298569,9.019861,0.113045,-0.061438,-0.018255,-0.991521
-9.026817,-21.666281,-18.420464,0.000000,0.000000,0.000000,1.000000,-11.451902,-24.525157,10.774706,0.125674,-0.058376,-0.018341,-0.990183
-7.667429,-22.702314,-16.777435,0.000000,0.000000,0.000000,1.000000,-11.430778,-25.556621,12.661299,0.134596,-0.053718,-0.017291,-0.989292
-6.193457,-23.540575,-14.706367,0.000000,0.000000,0.000000,1.000000,-11.415576,-26.330966,14.548390,0.140401,-0.048805,-0.015416,-0.988771
-4.650464,-23.738939,-14.018845,0.000000,0.000000,0.000000,1.000000,-11.375235,-26.931512,16.536447,0.147158,-0.043039,-0.016099,-0.988045
-3.117280,-24.059706,-11.973076,0.000000,0.000000,0.000000,1.000000,-11.273576,-27.292597,18.500558,0.152600,-0.036790,-0.018497,-0.987430
-1.405844,-23.857071,-10.823837,0.000000,0.000000,0.000000,1.000000,-11.096501,-27.494296,20.405063,0.153850,-0.031553,-0.020057,-0.987387
0.315838,-23.825884,-9.018074,0.000000,0.000000,0.000000,1.000000,-10.818163,-27.547038,22.296166,0.155310,-0.023985,-0.019707,-0.987378
1.993782,-23.286354,-9.195549,0.000000,0.000000,0.000000,1.000000,-10.449900,-27.416572,23.957697,0.159948,-0.013596,-0.019040,-0.986848
3.793334,-22.845957,-8.297661,0.000000,0.000000,0.000000,1.000000,-9.938335,-27.170140,25.484315,0.159176,-0.000405,-0.019925,-0.987049
